,,,,,Day 1,,,,,,,,,,,,,,,,,,,,,,,,Day 2,,,,,,,,,,,,,,,,,,,,,,,
Beacon Street west of Raleigh Street,September,MV,Westbound,39150,252,125,67,53,139,524,1061,1225,1167,1144,1069,976,968,941,1062,1125,1187,1119,1077,1079,917,919,798,447,272,170,110,56,151,544,1042,1261,1224,1113,1050,939,1043,1032,1066,1107,1142,1110,1128,1010,936,895,778,530
Beacon Street west of Raleigh Street,September,MV,Total,39150,252,125,67,53,139,524,1061,1225,1167,1144,1069,976,968,941,1062,1125,1187,1119,1077,1079,917,919,798,447,272,170,110,56,151,544,1042,1261,1224,1113,1050,939,1043,1032,1066,1107,1142,1110,1128,1010,936,895,778,530
Blue Hill Avenue north of Rexford Street,October,Bike,Northbound,35,0,0,0,0,1,0,1,2,2,0,0,0,0,0,1,3,0,1,0,0,1,3,0,0,0,0,0,0,0,1,2,2,1,1,0,1,0,1,0,2,0,1,3,2,2,0,1,0
Blue Hill Avenue north of Rexford Street,October,Bike,Southbound,77,0,0,0,0,1,0,2,3,5,2,2,4,3,3,0,3,4,5,4,0,1,0,2,1,0,0,0,0,0,0,3,2,3,1,0,1,2,1,1,1,5,5,3,1,1,1,1,0
Blue Hill Avenue north of Rexford Street,October,Bike,Total,112,0,0,0,0,2,0,3,5,7,2,2,4,3,3,1,6,4,6,4,0,2,3,2,1,0,0,0,0,0,1,5,4,4,2,0,2,2,2,1,3,5,6,6,3,3,1,2,0
Blue Hill Avenue north of Rexford Street,October,MV,Northbound,34615,150,77,51,69,155,716,1534,1519,1369,1199,964,702,747,786,838,934,940,984,947,721,494,414,367,244,168,81,62,61,157,785,1608,1554,1488,1387,951,799,705,785,862,917,980,982,990,644,504,482,426,316
Blue Hill Avenue north of Rexford Street,October,MV,Southbound,25056,263,97,47,45,88,168,398,713,683,530,572,640,674,715,869,831,800,865,850,749,682,486,397,311,209,112,66,63,104,192,375,758,698,578,558,638,612,686,878,834,815,810,816,791,655,509,452,374
Blue Hill Avenue north of Rexford Street,October,MV,Total,59671,413,174,98,114,243,884,1932,2232,2052,1729,1536,1342,1421,1501,1707,1765,1740,1849,1797,1470,1176,900,764,555,377,193,128,124,261,977,1983,2312,2186,1965,1509,1437,1317,1471,1740,1751,1795,1792,1806,1435,1159,991,878,690
Blue Hill Avenue north of Seaver Street,October,Bike,Northbound,56,0,0,0,1,0,0,0,2,0,0,0,2,1,3,3,3,3,1,3,1,2,1,2,1,0,0,0,0,0,1,1,1,0,1,2,2,1,2,0,0,1,4,0,5,4,0,0,2
Blue Hill Avenue north of Seaver Street,October,Bike,Southbound,36,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,3,1,2,1,2,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,3,0,3,0,4,1,0,2
Blue Hill Avenue north of Seaver Street,October,Bike,Total,92,0,0,0,1,1,1,1,3,0,0,0,2,2,3,3,6,4,3,4,3,3,2,2,1,0,0,1,0,1,2,2,1,1,1,2,2,2,2,0,1,4,4,3,5,8,1,0,4
Blue Hill Avenue north of Seaver Street,October,MV,Northbound,26023,137,82,76,48,132,447,890,878,809,854,688,595,677,692,728,686,717,651,749,675,562,491,391,252,144,89,66,70,119,477,895,923,961,886,687,612,648,642,716,703,699,636,772,711,482,486,416,276
Blue Hill Avenue north of Seaver Street,October,MV,Southbound,23287,227,102,74,47,77,184,479,664,645,569,593,623,600,623,736,716,716,722,763,732,644,519,376,288,188,83,81,56,68,219,468,651,607,549,576,583,588,646,704,715,710,743,716,718,637,515,420,327
Blue Hill Avenue north of Seaver Street,October,MV,Total,49310,364,184,150,95,209,631,1369,1542,1454,1423,1281,1218,1277,1315,1464,1402,1433,1373,1512,1407,1206,1010,767,540,332,172,147,126,187,696,1363,1574,1568,1435,1263,1195,1236,1288,1420,1418,1409,1379,1488,1429,1119,1001,836,603
Brighton Avenue east of St. Lukes Road,September,Bike,Eastbound,1167,2,1,1,2,2,15,20,78,104,76,44,19,30,31,23,30,27,17,25,27,17,11,7,4,2,1,1,2,2,16,23,65,132,76,34,22,22,28,23,18,21,5,26,7,14,5,7,2
Brighton Avenue east of St. Lukes Road,September,Bike,Westbound,1283,19,3,4,0,0,1,8,10,18,7,8,6,7,23,26,38,46,104,117,70,35,50,39,35,16,4,4,1,0,6,9,6,6,7,12,13,8,23,23,25,51,88,88,56,58,37,41,27
Brighton Avenue east of St. Lukes Road,September,Bike,Total,2450,21,4,5,2,2,16,28,88,122,83,52,25,37,54,49,68,73,121,142,97,52,61,46,39,18,5,5,3,2,22,32,71,138,83,46,35,30,51,46,43,72,93,114,63,72,42,48,29
Brighton Avenue east of St. Lukes Road,September,MV,Eastbound,12982,93,42,21,24,28,62,164,299,403,352,315,358,364,408,372,411,392,471,484,436,368,262,230,175,89,58,41,28,28,76,149,320,386,345,331,290,357,380,394,395,429,468,455,394,360,280,201,194
Brighton Avenue east of St. Lukes Road,September,MV,Westbound,21752,154,92,50,39,51,81,196,401,465,513,435,573,660,565,653,706,772,853,766,644,634,599,519,334,185,127,57,40,34,79,207,385,484,474,542,568,634,656,658,730,787,774,728,766,642,616,547,277
Brighton Avenue east of St. Lukes Road,September,MV,Total,34734,247,134,71,63,79,143,360,700,868,865,750,931,1024,973,1025,1117,1164,1324,1250,1080,1002,861,749,509,274,185,98,68,62,155,356,705,870,819,873,858,991,1036,1052,1125,1216,1242,1183,1160,1002,896,748,471
Brookline Avenue south of Francis Street,September,Bike,Northbound,421,2,0,0,0,0,8,19,28,45,30,11,8,5,4,5,3,2,5,8,2,5,2,1,2,0,0,0,0,0,7,22,31,38,37,18,9,13,11,5,3,7,3,10,0,3,5,2,2
Brookline Avenue south of Francis Street,September,Bike,Southbound,230,4,1,0,0,0,0,0,4,2,0,6,1,3,10,6,4,10,15,19,7,4,7,6,3,3,1,0,0,0,0,0,1,6,1,3,5,3,8,6,2,15,25,17,5,7,7,0,3
Brookline Avenue south of Francis Street,September,Bike,Total,651,6,1,0,0,0,8,19,32,47,30,17,9,8,14,11,7,12,20,27,9,9,9,7,5,3,1,0,0,0,7,22,32,44,38,21,14,16,19,11,5,22,28,27,5,10,12,2,5
Brookline Avenue south of Francis Street,September,MV,Northbound,22663,91,58,47,47,115,411,778,898,848,827,782,653,644,567,553,595,596,616,633,391,315,313,302,197,119,54,40,37,112,385,777,917,893,805,807,687,630,607,581,442,573,608,660,485,360,324,295,188
Brookline Avenue south of Francis Street,September,MV,Southbound,26333,139,80,54,52,46,146,366,597,525,519,613,658,754,725,886,898,1099,1125,908,740,554,609,624,388,156,64,64,46,59,180,347,590,491,536,584,659,648,748,848,940,1091,1182,909,780,611,535,729,431
Brookline Avenue south of Francis Street,September,MV,Total,48996,230,138,101,99,161,557,1144,1495,1373,1346,1395,1311,1398,1292,1439,1493,1695,1741,1541,1131,869,922,926,585,275,118,104,83,171,565,1124,1507,1384,1341,1391,1346,1278,1355,1429,1382,1664,1790,1569,1265,971,859,1024,619
BU Bridge north of Commonwealth Avenue,September,Bike,Northbound,2528,1,2,2,1,2,6,24,92,184,142,39,33,44,40,32,45,96,157,126,39,60,43,32,20,3,5,3,0,0,6,24,90,203,114,73,43,34,34,35,52,76,145,122,47,50,40,44,23
BU Bridge north of Commonwealth Avenue,September,Bike,Southbound,2442,6,1,0,0,0,7,39,84,183,114,80,42,40,27,20,40,65,180,145,72,55,31,13,13,5,1,0,1,1,7,25,103,147,140,49,40,32,37,32,29,85,158,120,54,52,42,15,10
BU Bridge north of Commonwealth Avenue,September,Bike,Total,4970,7,3,2,1,2,13,63,176,367,256,119,75,84,67,52,85,161,337,271,111,115,74,45,33,8,6,3,1,1,13,49,193,350,254,122,83,66,71,67,81,161,303,242,101,102,82,59,33
BU Bridge north of Commonwealth Avenue,September,MV,Northbound,30865,151,44,29,32,36,222,603,1106,1080,1075,783,817,756,748,865,974,1014,991,856,795,619,684,738,305,147,63,38,31,39,206,576,1095,1107,1106,877,865,792,772,839,995,997,926,883,909,601,638,764,276
BU Bridge north of Commonwealth Avenue,September,MV,Southbound,34066,144,61,44,24,50,195,648,1105,972,903,876,777,766,839,1065,1229,1340,1338,1348,1051,733,654,512,288,139,84,45,26,44,170,589,998,989,972,966,831,839,869,1109,1226,1346,1299,1298,968,730,685,570,312
BU Bridge north of Commonwealth Avenue,September,MV,Total,64931,295,105,73,56,86,417,1251,2211,2052,1978,1659,1594,1522,1587,1930,2203,2354,2329,2204,1846,1352,1338,1250,593,286,147,83,57,83,376,1165,2093,2096,2078,1843,1696,1631,1641,1948,2221,2343,2225,2181,1877,1331,1323,1334,588
Cambridge Street east of Lincoln Street,October,Bike,Eastbound,377,3,1,1,0,2,2,10,21,25,16,8,7,10,11,8,11,20,1,2,9,15,14,9,0,5,1,0,1,2,1,5,4,4,37,8,10,6,8,11,10,8,14,8,13,7,4,3,1
Cambridge Street east of Lincoln Street,October,Bike,Westbound,209,3,5,1,0,0,1,1,1,2,8,3,2,6,4,6,5,7,5,17,0,16,7,3,8,4,0,0,0,0,2,1,0,0,6,3,3,3,0,9,8,0,16,11,5,8,13,1,5
Cambridge Street east of Lincoln Street,October,Bike,Total,586,6,6,2,0,2,3,11,22,27,24,11,9,16,15,14,16,27,6,19,9,31,21,12,8,9,1,0,1,2,3,6,4,4,43,11,13,9,8,20,18,8,30,19,18,15,17,4,6
Cambridge Street east of Lincoln Street,October,MV,Eastbound,44130,260,171,112,73,132,372,807,1534,1726,1247,1072,1071,1168,1187,1423,1389,1311,1317,1177,1186,1082,1006,845,500,260,172,113,105,134,356,869,1540,1561,1247,1021,1067,1099,1196,1390,1360,1154,1144,1117,1216,1052,1100,926,763
Cambridge Street east of Lincoln Street,October,MV,Westbound,35558,170,107,83,57,94,453,812,974,1085,1071,888,835,812,852,890,941,1113,1208,1244,1142,901,714,551,339,207,129,122,64,114,441,839,961,1119,1009,958,855,944,909,836,1027,1217,1199,1331,1180,943,749,627,442
Cambridge Street east of Lincoln Street,October,MV,Total,79688,430,278,195,130,226,825,1619,2508,2811,2318,1960,1906,1980,2039,2313,2330,2424,2525,2421,2328,1983,1720,1396,839,467,301,235,169,248,797,1708,2501,2680,2256,1979,1922,2043,2105,2226,2387,2371,2343,2448,2396,1995,1849,1553,1205
Cambridge Street west of Eleanor Street,September,Bike,Eastbound,677,1,4,1,0,1,9,14,40,52,41,18,10,11,10,13,16,16,11,21,17,18,11,8,7,2,0,1,0,1,8,13,38,53,43,23,14,10,10,12,8,10,22,12,15,14,10,3,5
Cambridge Street west of Eleanor Street,September,Bike,Westbound,636,10,3,3,1,0,2,5,13,18,15,10,7,12,8,11,16,28,40,50,29,19,20,14,9,10,2,2,1,1,4,8,14,11,12,5,7,9,7,11,9,20,42,29,24,24,21,12,8
Cambridge Street west of Eleanor Street,September,Bike,Total,1313,11,7,4,1,1,11,19,53,70,56,28,17,23,18,24,32,44,51,71,46,37,31,22,16,12,2,3,1,2,12,21,52,64,55,28,21,19,17,23,17,30,64,41,39,38,31,15,13
Cambridge Street west of Eleanor Street,September,MV,Eastbound,15110,99,48,29,31,39,121,335,472,459,407,356,395,435,408,410,561,494,494,415,405,343,304,250,191,94,50,38,34,48,145,303,473,483,401,398,417,469,465,427,449,446,435,419,478,356,317,263,201
Cambridge Street west of Eleanor Street,September,MV,Westbound,14859,96,54,45,22,37,169,366,518,425,362,358,347,399,397,487,409,483,512,507,430,241,219,225,162,102,56,48,28,29,147,345,463,456,365,381,372,372,403,431,422,444,526,544,471,399,303,296,186
Cambridge Street west of Eleanor Street,September,MV,Total,29969,195,102,74,53,76,290,701,990,884,769,714,742,834,805,897,970,977,1006,922,835,584,523,475,353,196,106,86,62,77,292,648,936,939,766,779,789,841,868,858,871,890,961,963,949,755,620,559,387
Centre Street north of Harris Avenue,October,Bike,Northbound,418,1,19,17,17,12,17,9,14,7,7,0,1,2,0,0,0,1,2,7,14,24,17,7,14,3,4,3,13,22,21,16,5,1,4,3,7,1,1,1,1,1,0,12,21,24,22,14,9
Centre Street north of Harris Avenue,October,Bike,Southbound,463,10,12,6,21,11,35,25,21,8,12,6,3,4,0,1,0,0,4,5,4,5,13,6,11,6,10,10,16,17,36,25,19,10,15,6,8,3,1,1,0,0,4,3,5,14,13,7,11
Centre Street north of Harris Avenue,October,Bike,Total,881,11,31,23,38,23,52,34,35,15,19,6,4,6,0,1,0,1,6,12,18,29,30,13,25,9,14,13,29,39,57,41,24,11,19,9,15,4,2,2,1,1,4,15,26,38,35,21,20
Centre Street north of Harris Avenue,October,MV,Northbound,13672,411,372,405,364,380,382,358,354,281,216,180,112,61,26,27,39,73,216,456,490,415,426,402,369,363,378,397,347,359,343,370,339,298,241,193,106,53,46,21,29,66,250,493,535,500,387,384,359
Centre Street north of Harris Avenue,October,MV,Southbound,13208,351,382,381,403,326,382,457,418,357,260,227,210,80,36,35,28,38,104,211,345,362,328,382,367,396,356,366,389,471,436,435,416,377,293,206,225,86,58,36,22,40,107,248,375,360,339,333,368
Centre Street north of Harris Avenue,October,MV,Total,26880,762,754,786,767,706,764,815,772,638,476,407,322,141,62,62,67,111,320,667,835,777,754,784,736,759,734,763,736,830,779,805,755,675,534,399,331,139,104,57,51,106,357,741,910,860,726,717,727
Centre Street west of Wise Street,October,Bike,Eastbound,477,6,0,0,0,0,0,2,2,4,3,3,6,1,4,11,11,19,41,53,29,15,11,11,3,3,1,0,0,0,0,2,3,2,5,6,6,7,10,5,10,22,41,38,26,18,15,15,7
Centre Street west of Wise Street,October,Bike,Westbound,495,2,1,0,0,1,2,15,28,50,19,19,8,6,9,5,6,4,7,13,12,7,2,4,4,0,0,0,0,0,6,19,20,65,31,13,12,9,18,6,9,14,12,13,13,6,3,2,0
Centre Street west of Wise Street,October,Bike,Total,972,8,1,0,0,1,2,17,30,54,22,22,14,7,13,16,17,23,48,66,41,22,13,15,7,3,1,0,0,0,6,21,23,67,36,19,18,16,28,11,19,36,53,51,39,24,18,17,7
Centre Street west of Wise Street,October,MV,Eastbound,14340,63,31,32,23,30,83,235,402,432,435,415,428,413,448,458,521,477,489,465,389,327,277,168,111,72,42,30,26,39,103,229,387,397,418,371,398,435,457,473,470,481,499,483,426,335,265,190,162
Centre Street west of Wise Street,October,MV,Westbound,16252,85,46,27,27,54,145,326,412,468,468,443,452,469,496,531,524,553,518,528,507,356,279,258,154,66,49,25,34,55,154,302,371,447,449,430,438,497,496,518,516,576,526,557,465,409,312,259,175
Centre Street west of Wise Street,October,MV,Total,30592,148,77,59,50,84,228,561,814,900,903,858,880,882,944,989,1045,1030,1007,993,896,683,556,426,265,138,91,55,60,94,257,531,758,844,867,801,836,932,953,991,986,1057,1025,1040,891,744,577,449,337
Charles River Dam Bridge west of Leverett Circle,October,Bike,Eastbound,361,0,0,2,0,0,1,10,30,38,28,27,7,13,7,7,1,0,12,10,4,1,0,1,0,0,0,0,0,0,2,10,22,35,33,10,3,4,2,5,0,10,17,1,3,5,0,0,0
Charles River Dam Bridge west of Leverett Circle,October,Bike,Westbound,775,5,2,1,0,0,1,8,11,17,17,13,8,15,10,14,22,28,77,50,27,26,20,10,1,4,1,1,0,0,0,4,17,26,11,8,11,16,13,16,21,37,65,52,24,26,22,12,5
Charles River Dam Bridge west of Leverett Circle,October,Bike,Total,1136,5,2,3,0,0,2,18,41,55,45,40,15,28,17,21,23,28,89,60,31,27,20,11,1,4,1,1,0,0,2,14,39,61,44,18,14,20,15,21,21,47,82,53,27,31,22,12,5
Charles River Dam Bridge west of Leverett Circle,October,MV,Eastbound,42647,248,154,96,105,225,566,1221,1544,1417,1320,1160,1093,1172,1216,1289,1093,994,1105,1358,1149,1083,1048,812,545,323,171,108,105,220,560,1166,1419,1384,1211,948,922,982,1034,1001,1130,859,799,1345,1320,1024,1060,908,635
Charles River Dam Bridge west of Leverett Circle,October,MV,Westbound,46527,321,175,114,113,283,896,1108,1281,1392,1275,1322,1181,1111,1132,1140,1253,1247,1305,1342,1233,1000,1147,808,635,416,247,150,106,287,738,1195,1319,1349,1275,1212,1314,1321,1286,1129,1338,1294,1101,1352,1176,1108,850,1114,1036
Charles River Dam Bridge west of Leverett Circle,October,MV,Total,89174,569,329,210,218,508,1462,2329,2825,2809,2595,2482,2274,2283,2348,2429,2346,2241,2410,2700,2382,2083,2195,1620,1180,739,418,258,211,507,1298,2361,2738,2733,2486,2160,2236,2303,2320,2130,2468,2153,1900,2697,2496,2132,1910,2022,1671
Chestnut Hill Avenue north of Embassy Road,September,Bike,Northbound,203,0,0,1,0,0,2,2,7,12,4,4,3,6,1,1,5,13,9,8,7,9,4,3,1,1,1,0,0,0,0,5,9,17,12,3,3,5,3,3,4,7,4,6,6,2,4,2,4
Chestnut Hill Avenue north of Embassy Road,September,Bike,Southbound,253,0,0,0,0,1,1,3,7,15,12,9,8,6,6,9,2,8,18,10,7,6,6,5,1,0,0,0,0,0,3,3,5,12,9,5,4,5,4,7,6,10,8,13,5,5,5,1,3
Chestnut Hill Avenue north of Embassy Road,September,Bike,Total,456,0,0,1,0,1,3,5,14,27,16,13,11,12,7,10,7,21,27,18,14,15,10,8,2,1,1,0,0,0,3,8,14,29,21,8,7,10,7,10,10,17,12,19,11,7,9,3,7
Chestnut Hill Avenue north of Embassy Road,September,MV,Northbound,13770,41,35,14,19,35,163,381,525,538,440,335,312,371,383,378,433,426,474,458,337,272,221,171,90,51,29,18,20,28,145,376,457,533,442,371,346,340,381,428,415,440,430,431,398,285,268,193,93
Chestnut Hill Avenue north of Embassy Road,September,MV,Southbound,15150,58,48,23,12,19,92,252,475,457,405,351,342,394,377,505,562,579,573,513,500,352,264,234,149,84,24,29,24,22,76,245,441,448,428,345,389,433,373,445,550,583,600,544,470,342,319,243,157
Chestnut Hill Avenue north of Embassy Road,September,MV,Total,28920,99,83,37,31,54,255,633,1000,995,845,686,654,765,760,883,995,1005,1047,971,837,624,485,405,239,135,53,47,44,50,221,621,898,981,870,716,735,773,754,873,965,1023,1030,975,868,627,587,436,250
Columbia Road south of Quincy Street,October,Bike,Northbound,76,1,0,0,0,1,0,5,3,2,1,0,1,3,1,2,2,2,2,2,0,6,1,0,0,0,0,0,0,1,2,2,3,3,1,4,2,0,0,3,11,1,0,5,1,1,0,0,1
Columbia Road south of Quincy Street,October,Bike,Southbound,98,0,0,2,0,0,0,1,2,2,0,2,2,3,2,4,4,11,1,6,3,3,3,1,1,2,0,0,1,0,0,1,3,1,2,2,0,6,2,0,3,2,6,6,0,1,4,2,1
Columbia Road south of Quincy Street,October,Bike,Total,174,1,0,2,0,1,0,6,5,4,1,2,3,6,3,6,6,13,3,8,3,9,4,1,1,2,0,0,1,1,2,3,6,4,3,6,2,6,2,3,14,3,6,11,1,2,4,2,2
Columbia Road south of Quincy Street,October,MV,Northbound,32560,140,96,73,98,153,524,1056,1196,1056,1047,794,757,817,836,941,958,1042,989,878,775,679,583,463,277,163,99,77,107,186,553,1006,1185,1120,1030,770,679,737,844,915,942,1035,1055,941,790,683,585,490,340
Columbia Road south of Quincy Street,October,MV,Southbound,29277,271,116,95,79,80,248,564,780,743,697,732,703,774,745,800,972,986,974,940,876,743,664,538,400,227,137,106,54,77,242,581,786,760,754,708,723,805,825,879,891,1043,916,982,891,777,595,507,491
Columbia Road south of Quincy Street,October,MV,Total,61837,411,212,168,177,233,772,1620,1976,1799,1744,1526,1460,1591,1581,1741,1930,2028,1963,1818,1651,1422,1247,1001,677,390,236,183,161,263,795,1587,1971,1880,1784,1478,1402,1542,1669,1794,1833,2078,1971,1923,1681,1460,1180,997,831
Columbus Avenue west of Arlington Street,October,Bike,Eastbound,718,0,0,0,1,3,7,20,32,120,72,24,15,11,11,13,7,6,12,9,2,6,2,0,2,2,0,0,3,2,4,15,36,96,73,21,18,6,7,9,6,13,13,5,1,3,4,4,2
Columbus Avenue west of Arlington Street,October,Bike,Westbound,759,1,1,0,0,2,1,1,5,20,8,7,10,7,8,24,19,43,86,66,26,21,15,13,6,3,1,0,0,0,1,4,10,10,5,8,4,4,14,11,15,42,97,64,26,18,15,6,11
Columbus Avenue west of Arlington Street,October,Bike,Total,1477,1,1,0,1,5,8,21,37,140,80,31,25,18,19,37,26,49,98,75,28,27,17,13,8,5,1,0,3,2,5,19,46,106,78,29,22,10,21,20,21,55,110,69,27,21,19,10,13
Columbus Avenue west of Arlington Street,October,MV,Eastbound,6590,36,30,8,15,22,45,92,147,193,182,223,167,189,163,165,192,210,229,214,162,143,126,102,56,50,20,19,21,22,43,98,156,203,177,165,213,196,161,229,208,234,276,299,212,128,128,122,99
Columbus Avenue west of Arlington Street,October,MV,Westbound,9248,53,30,29,11,37,78,118,182,247,226,227,237,227,227,272,342,330,420,376,270,223,206,141,117,72,48,25,15,39,87,119,175,261,229,227,251,236,241,255,317,333,329,332,282,208,199,188,154
Columbus Avenue west of Arlington Street,October,MV,Total,15838,89,60,37,26,59,123,210,329,440,408,450,404,416,390,437,534,540,649,590,432,366,332,243,173,122,68,44,36,61,130,217,331,464,406,392,464,432,402,484,525,567,605,631,494,336,327,310,253
